altitude,givenTimeMillis,horizontalAccuracy,latitude,longitude,timeMillis,verticalAccuracy
79.79041908122599,1543825674603,12.0,31.265224892261955,121.62946458608964,1543825669804,0.0
-18.577741988934577,1543825696000,20.0,31.265014812323194,121.62832943445628,1543825691190,0.0
-10.914060704410076,1543825702000,20.0,31.265374971648644,121.62921586861103,1543825697208,0.0
-9.659193518545218,1543825703000,20.0,31.265398047883483,121.62925515704114,1543825698178,0.0
-9.693955150274066,1543825704000,20.0,31.265414085838675,121.62928045950791,1543825699187,0.0
-9.86714301762047,1543825705000,20.0,31.265432092591226,121.6293038791079,1543825700301,0.0
-10.384458644010154,1543825706000,20.0,31.265444103801343,121.62931277889595,1543825701186,0.0
-10.508296972765415,1543825707000,20.0,31.26545780839537,121.62933255079791,1543825702183,0.0
-10.479548846354104,1543825708000,20.0,31.265466686540233,121.62936228926417,1543825703191,0.0
-10.571912298068014,1543825709000,20.0,31.26547609644809,121.62937552581812,1543825704191,0.0
-11.421803372973557,1543825710000,4.0,31.26547609644809,121.62937552581812,1543825705189,0.0
-12.170901578724447,1543825711000,4.0,31.26547609644809,121.62937552581812,1543825706186,0.0
-12.807516700675578,1543825712000,4.0,31.26547609644809,121.62937552581812,1543825707183,0.0
-14.55637082784313,1543825713000,4.0,31.26547609644809,121.62937552581812,1543825708174,0.0
-14.321844172209381,1543825714000,20.0,31.26548277082367,121.62940604279254,1543825709185,0.0
-18.046227875615816,1543825715000,20.0,31.265475264834034,121.62943629417094,1543825710182,0.0
-16.759589820977105,1543825716000,20.0,31.265473298363503,121.62946771014484,1543825711190,0.0
-20.06678113782705,1543825717000,20.0,31.265496998796493,121.62947656178932,1543825712188,0.0
-21.90399871273242,1543825718000,20.0,31.265492742357438,121.62950766580167,1543825713184,0.0
-30.24682159365967,1543825719000,20.0,31.26549923501818,121.62953823638645,1543825714184,0.0
-31.086338716451912,1543825720000,20.0,31.265498091707276,121.62956400869432,1543825715174,0.0
-32.141558702546746,1543825721000,20.0,31.265493974732838,121.6295928397071,1543825716183,0.0
-32.96783367826606,1543825722000,20.0,31.265489058810196,121.62961822717189,1543825717186,0.0
-34.51340695606043,1543825723000,20.0,31.265483704091878,121.62963691364976,1543825718187,0.0
-35.65498970822915,1543825724000,4.0,31.26550644490991,121.62962402430024,1543825719197,0.0
-38.872981043734626,1543825725000,20.0,31.265528761667802,121.6296278473322,1543825720195,0.0
-38.0796796563202,1543825726000,20.0,31.265549160667994,121.62961628529682,1543825721184,0.0
-38.755799780865374,1543825727000,20.0,31.265560867910526,121.62960964969506,1543825722187,0.0
-42.00884829462511,1543825728000,20.0,31.26556636162216,121.62960682206321,1543825723189,0.0
-39.93296930789653,1543825729000,4.0,31.265566844128255,121.62960654858149,1543825724186,0.0
-38.60044399824942,1543825730000,20.0,31.265564518840737,121.62960786654412,1543825725185,0.0
-38.52151500315493,1543825731000,20.0,31.265566168364174,121.62960693160197,1543825726235,0.0
-38.170878283202555,1543825732000,20.0,31.265565974633137,121.62960704140743,1543825727185,0.0
-37.76548093684787,1543825733000,4.0,31.265565974633137,121.62960704140743,1543825728187,0.0
-36.05176876025228,1543825734000,20.0,31.265554949875945,121.62961329019348,1543825729176,0.0
-35.96816541521846,1543825735000,20.0,31.265549963634683,121.62961611637488,1543825730188,0.0
-35.94668395230071,1543825736000,20.0,31.26553820584359,121.62962278065565,1543825731186,0.0
-35.319467911257135,1543825737000,20.0,31.265598725674206,121.6296018069852,1543825732185,0.0
-34.58664256850915,1543825738000,20.0,31.265636373111793,121.62958046854146,1543825733182,0.0
-33.14023972361509,1543825739000,20.0,31.265624346366376,121.62958728527445,1543825734188,0.0
-32.71452819271634,1543825740000,20.0,31.265615459315462,121.62959232244359,1543825735183,0.0
-31.881385223021063,1543825741000,20.0,31.26560438223043,121.62959860092745,1543825736185,0.0
-31.319233091869492,1543825742000,20.0,31.26559238196883,121.62960540268881,1543825737190,0.0
-29.578808609996138,1543825743000,20.0,31.265579285195503,121.62961282597938,1543825738181,0.0
-22.972895033836096,1543825744000,20.0,31.265561493898073,121.62962148282834,1543825739187,0.0
-18.155469323495097,1543825745000,20.0,31.265628943560735,121.62954913417013,1543825740187,0.0
-15.802034434015793,1543825746000,20.0,31.265634323374655,121.6295453415686,1543825741184,0.0
-15.59958860876032,1543825747000,20.0,31.265613180317985,121.6295266805951,1543825742186,0.0
-19.912731622263646,1543825748000,20.0,31.265536432260124,121.62945977292355,1543825743185,0.0
-19.71031306114017,1543825749000,4.0,31.26548917686727,121.62942883207292,1543825744181,0.0
-21.16091809560631,1543825750000,20.0,31.26547700823172,121.62942721960484,1543825745190,0.0
-21.210208561706416,1543825751000,4.0,31.26547700823172,121.62942721960484,1543825746183,0.0
-21.243463999693343,1543825752000,4.0,31.26547700823172,121.62942721960484,1543825747182,0.0
-18.240526538246886,1543825753000,20.0,31.26546021560902,121.62942398172936,1543825748186,0.0
-18.40148003341787,1543825754000,20.0,31.265442689243226,121.62941606415492,1543825749186,0.0
-18.712705894364767,1543825755000,20.0,31.265417956899338,121.6294074862007,1543825750193,0.0
