adress,bond,name,rssi,time,type
88:11:96:9E:58:5B,10,NA,-93,1543825661611,1
88:11:96:9E:58:5B,10,NA,-89,1543825664521,1
6C:FF:D6:9C:EE:7F,10,NA,-87,1543825664777,2
59:81:17:AB:3D:E7,10,NA,-91,1543825664787,2
D2:7E:5A:01:9C:D1,10,Forerunner 235,-83,1543825664792,2
63:8D:EA:5D:CB:80,10,NA,-93,1543825664796,2
72:D5:D5:8F:29:C0,10,NA,-87,1543825664803,2
42:5F:3D:11:A4:D8,10,NA,-95,1543825666602,2
88:11:96:9E:58:5B,10,HUAWEI Mate 20,-73,1543825668665,1
80:35:C1:69:DF:60,10,NA,-92,1543825670391,1
C4:0B:CB:1B:E5:7B,10,ZK,-83,1543825670663,1
68:3E:34:F8:A6:63,10,魅蓝E,-88,1543825671574,1
A0:E6:F8:F9:6D:74,10,KONFTEL 300IPx,-86,1543825671977,2
C4:64:E3:7D:8E:BB,10,KONFTEL 300IPx,-95,1543825671980,2
48:1C:31:28:73:76,10,NA,-91,1543825671982,2
75:4D:F1:C0:33:9F,10,NA,-93,1543825672087,2
56:C8:F9:6E:19:D5,10,NA,-94,1543825672089,2
48:D7:B6:86:1E:93,10,NA,-95,1543825672596,2
00:81:F9:16:64:2C,10,KONFTEL 300IPx,-85,1543825673558,2
00:81:79:18:74:34,10,KONFTEL 300IPx,-89,1543825673579,2
A0:E6:F8:F9:6D:4A,10,KONFTEL 300IPx,-84,1543825673940,2
00:81:F9:16:84:10,10,KONFTEL 300IPx,-89,1543825674554,2
88:11:96:9E:58:5B,10,HUAWEI Mate 20,-85,1543825705391,1
F4:F5:DB:D4:31:E6,10,NA,-85,1543825705646,1
F4:70:AB:AA:D7:DC,10,vivo Xplay6,-85,1543825705695,1
78:02:F8:D0:D5:79,10,小米手机,-83,1543825705860,1
80:AD:16:FC:87:E4,10,QCOM-BTD,-92,1543825706299,1
F4:F5:DB:D4:31:E6,10,NA,-92,1543825706643,1
20:5D:47:45:B8:D9,10,NA,-84,1543825707202,1
20:5D:47:45:B8:D9,10,NA,-90,1543825707242,1
80:35:C1:69:DF:60,10,MarkBu,-87,1543825707509,1
A4:50:46:B8:E5:76,10,QCOM-BTD,-88,1543825707560,1
00:EC:0A:0D:4F:F3,10,NA,-89,1543825707722,1
10:94:BB:6C:3E:7C,10,AirPods,-90,1543825707806,3
94:87:E0:88:95:C9,10,小米8,-78,1543825707952,1
D8:C7:71:26:1A:F9,10,NA,-99,1543825708114,1
78:02:F8:D0:D5:79,10,小米手机,-84,1543825708657,1
80:35:C1:69:DF:60,10,MarkBu,-83,1543825708802,1
94:87:E0:B4:15:1F,10,小米手机,-98,1543825708942,1
48:2C:A0:37:A7:50,10,小米手机,-92,1543825709708,1
74:23:44:6F:08:5A,10,NA,-91,1543825709952,1
6C:72:DA:60:5D:D0,10,NA,-94,1543825710070,2
6E:16:04:8D:22:E8,10,NA,-86,1543825710330,2
A0:E6:F8:FC:68:B7,10,KONFTEL 300IPx,-84,1543825710457,2
A0:E6:F8:FC:68:B7,10,KONFTEL 300IPx,-84,1543825710558,2
47:67:C1:89:DB:5A,10,NA,-83,1543825710628,2
46:34:54:75:CE:52,10,NA,-92,1543825710772,2
61:3A:90:E3:FF:61,10,NA,-94,1543825711023,2
6E:16:04:8D:22:E8,10,NA,-82,1543825711180,2
73:8A:EC:08:42:BD,10,NA,-81,1543825711231,2
A0:E6:F8:FC:68:B7,10,KONFTEL 300IPx,-87,1543825711284,2
73:8A:EC:08:42:BD,10,NA,-74,1543825711572,2
C4:64:E3:84:9D:89,10,KONFTEL 300IPx,-86,1543825711675,2
73:8A:EC:08:42:BD,10,NA,-68,1543825711770,2
73:8A:EC:08:42:BD,10,NA,-69,1543825711910,2
20:54:FA:F4:AC:FD,10,7BE66BD6BDD0,-85,1543825712033,1
38:E6:0A:54:54:72,10,NA,-86,1543825712646,1
EC:D0:9F:8C:71:C8,10,NA,-99,1543825712661,1
94:87:E0:A1:C9:78,10,QCOM-BTD,-86,1543825713658,1
B4:CD:27:36:B7:A0,10,HWMT20DJ,-91,1543825714030,1
68:3E:34:F8:A6:63,10,魅蓝E,-74,1543825714813,1
38:E6:0A:54:54:72,10,NA,-86,1543825715115,1
48:2C:A0:23:5F:90,10,Louis, Mi,-81,1543825715357,1
74:AC:5F:EB:C1:CD,10,NA,-94,1543825715507,1
68:3E:34:F8:A6:63,10,魅蓝E,-78,1543825716101,1
38:E6:0A:54:54:72,10,小米手机,-85,1543825716401,1
48:2C:A0:3F:60:76,10,NA,-94,1543825716483,1
48:2C:A0:3B:3F:77,10,MI8-WY,-87,1543825716590,1
78:62:56:53:00:E2,10,honor Band 3-0e2,-90,1543825717170,2
7F:41:10:16:DF:62,10,NA,-88,1543825717201,2
60:5C:00:00:B6:EA,10,NA,-94,1543825717600,2
