x, y, magnet_x, magnet_y, magnet_z
19.9, 21.1, -27.430847651, -31.4525661074, -36.3270577181
20.4, 21.1, -29.3684673367, -29.9430319933, -28.5221343384
20.9, 21.1, -28.3091781879, -26.4688001678, -21.2062776846
21.4, 21.1, -29.6624038655, -18.2904557983, -17.5013702521
21.9, 21.1, -32.616759396, -11.1602681711, -16.7083258389
22.4, 21.1, -35.7138872483, -3.11141025503, -17.91995
22.9, 21.1, -38.1912342857, -0.222196216403, -20.7985959664
23.4, 21.1, -38.5494179832, 7.3568057479, -24.5594267227
23.9, 21.1, -37.415581072, 10.3483627806, -28.2299159129
24.4, 21.1, -35.1492151007, 9.78149738255, -31.2624469799
24.9, 21.1, -33.3134862416, 7.7725072651, -32.2722214765
25.4, 21.1, -33.1002885906, 0.994461012752, -32.6204152685
25.9, 21.1, -32.9429203361, -0.213179498975, -33.283089916
26.4, 21.1, -32.8800590604, -3.45027848993, -33.4975981544
26.9, 21.1, -32.4869021812, -3.48254466443, -33.4785552013
27.4, 21.1, -30.517597651, -9.25310756711, -33.463435906
27.9, 21.1, -28.1778122278, -11.1021148911, -33.4555165829
28.4, 21.1, -25.5982484899, -11.9216416107, -34.5870604027
28.9, 21.1, -23.2952761745, -13.4012600671, -36.9241466443
29.4, 21.1, -20.7242010067, -18.9348860738, -37.9642924497
29.9, 21.1, -21.4111768456, -21.0357399329, -38.8227874161
30.4, 21.1, -18.2777218121, -23.8584239933, -39.9812731544
30.9, 21.1, -14.8121157718, -24.4489531879, -39.1360208054
31.4, 21.1, -12.2001382215, -20.3532926174, -36.4143213087
31.9, 21.1, -11.8553563591, -12.7531602349, -34.3531862416
32.4, 21.1, -13.9516968121, -5.18917377517, -36.0978607383
32.9, 21.1, -15.936260906, 1.50068661577, -39.0966734899
33.4, 21.1, -19.5743894295, 4.57105432886, -42.0188280201
33.9, 21.1, -24.2652876047, 6.0220559464, -43.9863274707
34.4, 21.1, -28.344642953, 4.04225283557, -43.2683285235
34.9, 21.1, -31.1129563758, 1.43342782265, -38.3098380872
35.4, 21.1, -33.1925952941, -2.20338478487, -32.0067245378
35.9, 21.1, -34.8970127517, -3.24010144463, -26.3576526846
36.4, 21.1, -35.7453973109, 0.0209904869916, -22.8056877311
36.9, 21.1, -35.716545042, -0.211130365613, -22.8659793277
37.4, 21.1, -34.5304224456, -0.73841305933, -27.1779286432
37.9, 21.1, -33.8792177852, -6.98307181208, -33.9290895973
38.4, 21.1, -33.3652342282, -13.911934396, -39.2181409396
38.9, 21.1, -34.1323966443, -18.5632011745, -40.3121447987
39.4, 21.1, -34.8543598993, -20.8503687919, -38.1927498322
39.9, 21.1, -37.1478598993, -15.9557412752, -37.9078718121
40.4, 21.1, -38.9325686242, -13.5762978188, -39.651186745
8.4, 20.3, -27.5557590604, -25.3764088926, -63.9736481544
8.9, 20.3, -27.4212437919, -36.4484369128, -63.0695748322
9.4, 20.3, -36.0308828047, -42.6140490818, -56.6339218698
9.9, 20.3, -41.7196996639, -48.1806863866, -46.326970084
10.4, 20.3, -47.7119820771, -47.1416886097, -32.5469711893
10.9, 20.3, -51.9060389262, -30.4552295302, -21.5876204698
11.4, 20.3, -46.0656092437, -18.6277278992, -12.374402521
11.9, 20.3, -42.9091030252, -6.64233769748, -7.18168583193
12.4, 20.3, -35.346858557, 7.2454291443, -13.1625060067
12.9, 20.3, -34.4734793277, 9.08416569748, -16.3377494118
13.4, 20.3, -31.8027951261, 10.5626256134, -21.3017964706
13.9, 20.3, -28.8953687395, 8.18540645378, -27.5981635294
14.4, 20.3, -26.9147325503, 3.68816223154, -31.687254698
14.9, 20.3, -25.4932369128, 3.09020236577, -34.4202112416
15.4, 20.3, -24.5811833893, 5.15622568792, -36.9896827181
15.9, 20.3, -24.3396696817, 5.93276020101, -40.7779149079
16.4, 20.3, -23.892116443, 4.57292553691, -44.1748107383
16.9, 20.3, -23.3521471477, 6.44395087248, -47.0017280201
17.4, 20.3, -21.4986808725, 7.69012243289, -53.2487501678
17.9, 20.3, -20.129202349, 5.16792885906, -58.2237746644
18.4, 20.3, -17.1917964706, -0.305914545345, -62.8056502521
18.9, 20.3, -14.7158793277, -10.7895193613, -63.3525154622
19.4, 20.3, -15.5324751261, -23.7565352941, -58.4664615126
19.9, 20.3, -20.1401045302, -33.6346468121, -43.9696491611
20.4, 20.3, -28.7888460504, -37.2910798319, -27.1490818487
20.9, 20.3, -37.8722173109, -27.1947418487, -10.106725042
21.4, 20.3, -36.3237437919, -13.9766734899, -3.48922907718
21.9, 20.3, -32.6114464765, -8.87445432886, -4.75978709732
22.4, 20.3, -34.9798793624, -8.8852564094, -4.08892775168
22.9, 20.3, -49.0732791946, -3.67124352349, -1.40161214018
23.4, 20.3, -56.1963657718, 15.3833983221, -0.826043420436
23.9, 20.3, -44.1242515966, 41.4963194958, -17.8811361345
24.4, 20.3, -20.7201417785, 24.6681241611, -24.1273701342
24.9, 20.3, -9.49415584874, 5.52225282353, -31.5389756303
25.4, 20.3, -25.6289216443, -1.78297975285, -32.0924214765
25.9, 20.3, -30.8422647651, 0.365148372198, -25.0499942953
26.4, 20.3, -31.0730286913, 6.30250755034, -34.7241515101
26.9, 20.3, -33.3215610738, 7.97037216443, -52.8442887584
27.4, 20.3, -22.8301181818, 10.0173423401, -66.2639439394
27.9, 20.3, -23.1496828571, 3.26991036975, -75.5366304202
28.4, 20.3, -21.0163297479, -1.16764645496, -80.4049060504
28.9, 20.3, -20.1493573826, -1.14495762181, -84.428740604
29.4, 20.3, -8.37192176174, 0.0917933182215, -81.9502751678
29.9, 20.3, -9.7353677349, -29.5844736577, -63.0061340604
30.4, 20.3, -17.844767953, -12.8566627517, -40.3430095638
30.9, 20.3, -14.9285584874, -17.8782235294, -28.105790084
31.4, 20.3, -23.2552964765, -22.7471157718, -15.7370697987
31.9, 20.3, -23.1770033613, -9.71294880672, -9.50988810084
32.4, 20.3, -30.2846741611, -0.527480667315, -21.4899652685
32.9, 20.3, -20.4390983193, 6.68751746218, -32.0841536134
33.4, 20.3, -19.3395100671, 3.76413384228, -36.3559397651
33.9, 20.3, -21.6233541176, 1.00366136689, -34.7859159664
34.4, 20.3, -23.9550818792, 0.169579914631, -30.3151389262
34.9, 20.3, -26.9340902685, 3.44004567114, -29.5503939597
35.4, 20.3, -41.1614963025, -12.5112052101, -29.0100361345
35.9, 20.3, -39.5504919463, 3.06202225503, -17.2080458054
36.4, 20.3, -35.7922, 16.1573357983, -17.0956267227
36.9, 20.3, -8.60901577181, 15.8484758389, -21.3764927852
37.4, 20.3, -11.9857701342, -1.83586288557, -30.3551486577
37.9, 20.3, -20.2499008389, -5.10925974832, -34.7587981544
38.4, 20.3, -23.3648895798, -11.5859584538, -41.3186914286
38.9, 20.3, -25.4728947987, -17.8553558725, -41.0117946309
39.4, 20.3, -27.6730831933, -20.4898652101, -36.2498253782
39.9, 20.3, -29.0389078859, -23.2803619128, -26.2707505034
40.4, 20.3, -41.5961801681, -23.933185042, -19.8385921008
