x, y
369208.599, 3459842.624
369341.207, 3459842.624
369341.207, 3459846.096
369343.929, 3459846.096
369343.929, 3459855.002
369348.701, 3459855.002
369348.701, 3459846.096
369351.274, 3459846.096
369351.274, 3459842.624
369354.517, 3459842.624
369354.517, 3459824.655
369208.599, 3459824.655
