x, y
369208.599, 3459842.624
369340.929, 3459842.624
369340.929, 3459845.624
369343.929, 3459845.624
369343.929, 3459853.002
369348.701, 3459853.002
369348.701, 3459845.624
369351.701, 3459845.624
369351.701, 3459842.624
369354.517, 3459842.624
369354.517, 3459824.655
369208.599, 3459824.655
