timeMillis,givenTimeMillis,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy
1539851705673,1539851706537,31.265274198573202,121.6289643864575,14.136165610559157,200.0,Infinity
1539851735697,1539851736537,31.265865150548496,121.6263743790138,13.772248329923041,64.0,Infinity
1539851736696,1539851737537,31.265739448810432,121.62638703797063,6.2292349289663544,200.0,Infinity
1539851737700,1539851738537,31.265922662676637,121.62625477432974,4.70065296299016,96.0,Infinity
1539851738691,1539851739537,31.265979622078195,121.62605802016888,-35.02115301886626,192.0,Infinity
1539851739706,1539851740537,31.26600297033357,121.62605155884373,-39.18104596649181,192.0,Infinity
1539851740723,1539851741537,31.265983564647172,121.62602448805943,-43.77028975545667,192.0,Infinity
1539851741714,1539851742537,31.26603176693791,121.62611062155042,-47.974060834837324,400.0,Infinity
1539851743700,1539851744537,31.266043284468335,121.62651106175551,0.07306498832202062,200.0,Infinity
1539851744708,1539851745537,31.266043284468335,121.62651106175551,9.191285585814255,200.0,Infinity
1539851745728,1539851746537,31.26601843221468,121.62663478905233,21.915429286180785,64.0,Infinity
1539851746712,1539851747537,31.266090855007324,121.62651187148583,18.090646863769564,200.0,Infinity
1539851747713,1539851748537,31.266090855007324,121.62651187148583,27.504251194818316,48.0,Infinity
1539851748715,1539851749537,31.266090855007324,121.62651187148583,28.63305234998322,48.0,Infinity
1539851750206,1539851751000,31.26611661876591,121.62666160940276,40.74151563487566,48.0,Infinity
1539851751191,1539851752000,31.26611661876591,121.62666160940276,45.73141750354178,48.0,Infinity
1539851752225,1539851753000,31.266071476497196,121.62684112991815,57.36825452697497,32.0,Infinity
1539851753195,1539851754000,31.266026467201574,121.62693568293484,68.93873536759722,32.0,Infinity
1539851754193,1539851755000,31.2660071050423,121.6269985400033,75.01072658933735,32.0,Infinity
1539851755195,1539851756000,31.265987032964272,121.62708098263843,76.56439801468042,32.0,Infinity
1539851756204,1539851757000,31.265971138385993,121.62715001561699,76.40619019260623,32.0,Infinity
1539851757217,1539851758000,31.265971138385993,121.62715001561699,78.33503152381383,32.0,Infinity
1539851758199,1539851759000,31.26591133061138,121.62724690009975,80.01921699246962,32.0,Infinity
1539851759219,1539851760000,31.26591133061138,121.62724690009975,81.28896113905955,24.0,Infinity
1539851760195,1539851761000,31.265824372390572,121.62733120427937,82.56050869321416,24.0,Infinity
1539851761191,1539851762000,31.265824372390572,121.62733120427937,80.39776432816421,24.0,Infinity
1539851762182,1539851763000,31.265824372390572,121.62733120427937,78.55712465593776,24.0,Infinity
1539851763236,1539851764000,31.265824372390572,121.62733120427937,78.61032804235387,24.0,Infinity
1539851764193,1539851765000,31.265789226017414,121.6273743531132,77.0160020380258,24.0,Infinity
1539851765203,1539851766000,31.265789226017414,121.6273743531132,68.79454217985042,32.0,Infinity
1539851766207,1539851767000,31.265789226017414,121.6273743531132,66.16848895751195,32.0,Infinity
1539851767211,1539851768000,31.26577610421587,121.62737290355153,64.35956311999905,16.0,Infinity
1539851768164,1539851769000,31.265779894594075,121.62739428785991,62.530190764430664,16.0,Infinity
1539851769190,1539851770000,31.265778878921786,121.62741186117243,61.76692964971053,16.0,Infinity
1539851770224,1539851771000,31.26578043316175,121.62743587693689,64.82447531813959,16.0,Infinity
1539851771219,1539851772000,31.265773302683296,121.62745378896383,63.8516561675372,16.0,Infinity
1539851772237,1539851773000,31.265760177680292,121.62747123417891,62.38375296597512,16.0,Infinity
1539851773203,1539851774000,31.265734349565754,121.62749818345854,61.07307478297593,16.0,Infinity
