28722.27063, 3,   0.700,  0.381,  9.743, 4,  -0.049, -0.026, -0.737, 5,  10.000,-10.000,-33.900
28722.34089, 3,  -0.189, -0.006,  9.761, 4,  -0.058, -0.080, -1.737, 5,  10.400,-10.000,-33.900
28722.41252, 3,   0.733,  0.227,  9.727, 4,  -0.054, -0.019, -2.805, 5,  10.400,-10.000,-33.900
28722.48220, 3,  -0.682, -0.316,  9.858, 4,  -0.058, -0.076, -2.940, 5,  10.400, -6.800,-33.900
28722.55054, 3,   2.665,  0.349,  9.773, 4,  -0.082,  0.206, -1.672, 5,  12.000,  0.000,-33.900
28722.62272, 3,  -0.569, -0.347,  9.768, 4,  -0.061, -0.099, -3.839, 5,  12.500,  5.000,-33.900
28722.69200, 3,   0.870,  0.318,  9.905, 4,  -0.067,  0.052, -1.944, 5,  12.500,  7.700,-33.900
28722.76110, 3,  -1.125,  0.263,  9.754, 4,  -0.013, -0.214, -4.521, 5,  11.300, 10.900,-33.900
28722.83328, 3,   4.849,  1.832, 10.523, 4,  -0.062,  0.180, -4.052, 5,   9.000, 14.800,-33.900
28722.90149, 3,  -0.875, -1.958, 10.095, 4,  -0.056,  0.093, -6.373, 5,   3.900, 17.400,-33.900
28722.97160, 3,  -1.134, -1.111,  9.793, 4,  -0.068, -0.008, -3.580, 5,  -6.000, 18.800,-33.900
28723.04210, 3,   0.030,  0.169,  9.766, 4,  -0.048, -0.046, -0.490, 5,  -6.700, 18.800,-33.900
28723.11281, 3,   0.026,  0.159,  9.775, 4,  -0.047, -0.043, -0.018, 5,  -7.600, 18.800,-33.900
28723.18212, 3,   0.006,  0.149,  9.776, 4,  -0.049, -0.044, -0.017, 5,  -6.800, 19.200,-33.900
28723.25104, 3,   0.028,  0.157,  9.779, 4,  -0.050, -0.044, -0.017, 5,  -6.800, 18.500,-33.900
28723.32243, 3,   0.017,  0.138,  9.750, 4,  -0.047, -0.044, -0.018, 5,  -7.400, 17.900,-33.900
28723.39162, 3,   0.303,  0.233, 10.378, 4,  -0.047, -0.045, -0.017, 5,  -7.400, 18.800,-33.900
28723.46114, 3,   0.508, -0.040,  9.885, 4,  -0.050, -0.028, -0.176, 5,  -7.400, 19.300,-33.900
28723.53241, 3,   0.056,  1.047,  9.718, 4,  -0.050, -0.066, -0.609, 5,  -7.900, 19.300,-33.900
28723.60126, 3,  -0.185, -0.812,  9.798, 4,  -0.063,  0.042, -2.610, 5, -10.900, 17.800,-33.900
28723.67088, 3,   0.599,  0.845,  9.792, 4,  -0.050, -0.103, -2.227, 5, -14.000, 16.700,-33.900
28723.74068, 3,  -0.548,  0.402,  9.747, 4,  -0.053, -0.031, -0.937, 5, -14.700, 16.700,-33.900
28723.81219, 3,  -1.106, -0.682,  9.773, 4,  -0.055, -0.088, -1.411, 5, -17.300, 15.200,-33.900
28723.88147, 3,   0.222,  0.188,  9.749, 4,  -0.055, -0.030, -1.243, 5, -18.000, 15.200,-33.900
28723.95133, 3,   0.555,  0.269,  9.752, 4,  -0.051, -0.023, -0.177, 5, -18.000, 15.200,-33.900
28724.02293, 3,   0.103,  0.104,  9.759, 4,  -0.053, -0.061, -0.969, 5, -18.600, 14.600,-33.900
28724.09258, 3,  -0.633, -0.141,  9.631, 4,  -0.051, -0.063, -1.669, 5, -19.500, 12.400,-33.900
28724.16049, 3,  -0.397,  0.065,  9.768, 4,  -0.060, -0.009, -2.156, 5, -20.700, 11.000,-33.900
28724.23074, 3,  -1.038, -0.160,  9.833, 4,  -0.051, -0.046, -0.627, 5, -21.100,  8.200,-33.900
