31542.15043, 3,  -1.073,  7.588,  5.979
31542.22017, 3,  -1.497,  7.943,  6.024, 4,   0.011,  0.008,  0.011, 5,  19.424,-26.974,-34.079
31542.29018, 3,  -1.738,  7.541,  6.710, 4,  -0.618, -0.475,  0.410, 5,  18.770,-25.956,-35.417, 81, 317.332,-51.996,-10.673, 82,  -0.041,  0.216,  0.164, 83,  -1.456,  7.727,  5.860, 84,   0.374,  0.248,  0.348
31542.36029, 3,  -0.842,  8.235,  8.060, 4,  -0.337, -0.187,  0.725, 5,  17.535,-25.979,-36.231, 81, 317.615,-49.564,-14.267, 82,  -0.170,  0.076,  0.546, 83,  -1.567,  7.464,  6.164, 84,   0.354,  0.245,  0.350
31542.43027, 3,  -0.236,  7.131,  6.837, 4,   0.246,  0.149,  0.974, 5,  16.775,-26.392,-36.043, 81, 313.807,-47.998,-10.795, 82,   0.387,  0.948,  1.614, 83,  -1.229,  7.288,  6.446, 84,   0.343,  0.231,  0.375
31542.50022, 3,   0.904,  6.613,  6.661, 4,   0.362,  0.678,  0.684, 5,  17.129,-27.906,-35.218, 81, 308.895,-47.568, -8.309, 82,   0.720, -0.107,  0.289, 83,  -0.956,  7.238,  6.547, 84,   0.338,  0.228,  0.408
31542.57008, 3,   0.114,  6.999,  6.224, 4,  -0.427,  0.408,  0.630, 5,  17.129,-29.333,-34.266, 81, 296.434,-47.083, -4.544, 82,   1.433, -0.568,  0.005, 83,  -0.529,  7.182,  6.657, 84,   0.322,  0.239,  0.490
31542.64010, 3,   0.443,  7.096,  5.546, 4,   0.068,  1.647,  0.759, 5,  17.700,-30.800,-32.000, 81, 293.450,-47.359, -3.446, 82,   0.513, -0.214, -0.407, 83,  -0.399,  7.214,  6.631, 84,   0.322,  0.241,  0.508
31542.71066, 3,  -1.654,  8.173,  5.307, 4,   0.904, -0.174, -0.037, 5,  19.100,-31.500,-31.000, 81, 288.160,-48.199, -2.139, 82,   0.687, -0.215, -0.986, 83,  -0.244,  7.310,  6.532, 84,   0.322,  0.252,  0.539
31542.78043, 3,  -0.608,  8.586,  4.832, 4,   0.368, -0.780, -0.380, 5,  19.100,-32.500,-29.700, 81, 288.906,-49.669, -4.455, 82,  -1.161,  0.697, -1.021, 83,  -0.493,  7.476,  6.328, 84,   0.323,  0.270,  0.534
31542.86293, 3,  -0.412,  8.496,  4.578, 4,   0.435, -0.475, -0.146, 5,  19.100,-33.400,-29.100, 81, 284.371,-51.440, -4.809, 82,  -0.095,  0.917, -1.259, 83,  -0.512,  7.668,  6.091, 84,   0.323,  0.292,  0.559
31542.93074, 3,  -1.013,  8.401,  4.226, 4,  -0.305, -0.872, -0.388, 5,  19.100,-34.100,-28.600, 81, 284.175,-52.979, -3.648, 82,   0.087,  0.667, -1.305, 83,  -0.499,  7.830,  5.883, 84,   0.332,  0.300,  0.556
31543.00045, 3,   0.554,  8.625,  4.560, 4,  -0.154, -0.997, -0.099, 5,  19.500,-33.500,-29.300, 81, 287.322,-54.382, -4.153, 82,  -0.434,  0.429, -1.455, 83,  -0.579,  7.972,  5.682, 84,   0.345,  0.302,  0.534
