timeMillis,givenTimeMillis,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy
1540781544358,1540781544159,31.26578464202569,121.62756626942861,14.480337074384481,64.0,Infinity
1540781545372,1540781545154,31.26579369999002,121.62757806106526,14.439967887780666,64.0,Infinity
1540781547388,1540781547140,31.265771757873566,121.62761959852152,14.378635509471517,64.0,Infinity
1540781548397,1540781548134,31.265777950750138,121.62760208930949,14.383244496144243,64.0,Infinity
1540781549413,1540781549134,31.26577547916017,121.62758998643979,14.373722994426455,64.0,Infinity
1540781550428,1540781550150,31.265778755595907,121.62760584920807,14.405483599337073,64.0,Infinity
1540781551407,1540781551144,31.26578280630455,121.62761710492055,14.88248811150394,64.0,Infinity
1540781552399,1540781552144,31.265798830559646,121.62763023034276,14.915680045704413,64.0,Infinity
1540781553407,1540781553146,31.26580986482347,121.62763737207503,14.929548248740936,64.0,Infinity
1540781554391,1540781554139,31.26581299392086,121.62765417549367,14.897046018930743,64.0,Infinity
1540781555400,1540781555139,31.265811340361218,121.62766895985199,14.91211728217541,64.0,Infinity
1540781556411,1540781556145,31.26579947394366,121.62767070161615,14.899400637730631,64.0,Infinity
1540781557414,1540781557133,31.26578860924328,121.62766723071991,14.8840224752967,64.0,Infinity
1540781558427,1540781558126,31.26578105498345,121.62766916185502,14.872603572924573,64.0,Infinity
1540781559401,1540781559123,31.265774674624538,121.62766658239497,14.860348220582036,64.0,Infinity
1540781560401,1540781560120,31.265768219825762,121.62766284692546,14.854199767851277,64.0,Infinity
1540781561394,1540781561169,31.26576094686557,121.62766261269371,14.85453654635933,64.0,Infinity
1540781562388,1540781562109,31.265769225341234,121.62765398810527,14.855722318848448,96.0,Infinity
1540781563380,1540781563109,31.265759001629572,121.62764534961822,14.85249280471274,128.0,Infinity
1540781565402,1540781565144,31.265737966748834,121.62763047054897,14.80571359446846,128.0,Infinity
1540781566388,1540781566064,31.265754039155983,121.62762121726821,14.816137665365822,64.0,Infinity
1540781567392,1540781567064,31.2657627237864,121.62761934126623,14.82253090285852,128.0,Infinity
1540781568412,1540781568064,31.265760536449218,121.62762080540578,14.819728904618628,200.0,Infinity
1540781569384,1540781569064,31.26576210197244,121.62761998307617,14.819724576735794,32.0,Infinity
