adress,bond,name,rssi,time,type
94:87:E0:B7:3D:3D,10,小米手机,-92,1543825429966,1
8C:25:05:55:C8:8B,10,NA,-90,1543825431052,1
57:49:F5:57:D4:6E,10,NA,-92,1543825431415,2
7A:85:F0:69:62:B1,10,NA,-95,1543825431464,2
63:EE:27:3D:84:0F,10,NA,-99,1543825431470,2
5D:B0:EE:0D:0F:FF,10,NA,-79,1543825431472,2
5B:64:06:A2:B3:57,10,NA,-91,1543825431474,2
45:2E:CC:49:54:F7,10,NA,-95,1543825431475,2
4A:B2:40:B9:BF:8A,10,NA,-83,1543825432251,2
D8:63:75:B9:C5:F8,10,NA,-82,1543825436873,1
D8:63:75:B9:C5:F8,10,Alan Mix2,-84,1543825438037,1
0D:57:64:9D:A9:8B,10,NA,-100,1543825441451,2
A4:50:46:B5:97:3E,10,小米手机,-79,1543825459480,1
04:B1:67:7B:E4:29,10,QCOM-BTD,-87,1543825460414,1
4C:49:E3:E8:7E:FC,10,NA,-92,1543825460456,1
4C:49:E3:E8:7E:FC,10,NA,-92,1543825460507,1
4C:49:E3:E8:7E:FC,10,NA,-92,1543825460589,1
E4:46:DA:DC:E2:01,10,小米手,-74,1543825461320,1
C4:0B:CB:1B:E5:7B,10,ZK,-87,1543825461611,1
94:87:E0:A4:1E:CA,10,NA,-90,1543825462226,1
94:87:E0:A4:1E:CA,10,NA,-91,1543825462547,1
59:56:49:DA:91:09,10,NA,-91,1543825464100,2
7B:9E:EF:C3:80:FF,10,NA,-87,1543825464112,2
A0:E6:F8:F9:6D:74,10,KONFTEL 300IPx,-74,1543825464121,2
00:81:F9:16:84:10,10,KONFTEL 300IPx,-89,1543825464131,2
49:9C:F2:50:82:AC,10,NA,-89,1543825464138,2
F6:87:5D:EF:C4:68,10,Forerunner 935,-99,1543825464578,2
5F:56:B9:C7:A3:1B,10,NA,-86,1543825464706,2
C4:64:E3:7D:7A:21,10,KONFTEL 300IPx,-73,1543825464876,2
4F:97:EC:31:82:84,10,NA,-92,1543825465235,2
78:02:F8:D0:D5:79,10,小米手机,-93,1543825467784,1
A4:71:74:37:5E:15,10,1359mate9 pro,-90,1543825468414,1
D8:63:75:B9:C5:F8,10,Alan Mix2,-89,1543825468872,1
94:87:E0:88:95:C9,10,NA,-91,1543825469876,1
00:81:F9:18:7A:CF,10,KONFTEL 300IPx,-85,1543825471388,2
7B:9E:EF:C3:80:FF,10,NA,-83,1543825471660,2
A0:E6:F8:F9:4A:A9,10,KONFTEL 300IPx,-84,1543825473211,2
65:3E:97:6F:73:81,10,NA,-79,1543825473865,2
48:1C:31:28:73:76,10,NA,-93,1543825473867,2
7B:9E:EF:C3:80:FF,10,NA,-76,1543825473900,2
48:2C:A0:37:A7:50,10,小米手机,-83,1543825496853,1
94:87:E0:EB:0C:3B,10,NA,-92,1543825497407,1
80:35:C1:69:DF:60,10,NA,-95,1543825497576,1
48:2C:A0:3B:3F:77,10,MI8-WY,-82,1543825497722,1
20:54:FA:F4:AC:FD,10,7BE66BD6BDD0,-80,1543825498277,1
F4:70:AB:AA:D7:DC,10,NA,-89,1543825498333,1
94:87:E0:EB:0C:3B,10,红米手机,-78,1543825499208,1
94:87:E0:88:95:C9,10,NA,-88,1543825499307,1
94:87:E0:A4:1E:CA,10,小米手机,-95,1543825499346,1
D8:63:75:B9:C5:F8,10,Alan Mix2,-97,1543825499499,1
EC:D0:9F:8C:71:C8,10,NA,-93,1543825500197,1
A4:50:46:B8:E5:76,10,QCOM-BTD,-91,1543825500209,1
F4:70:AB:AA:D7:DC,10,NA,-89,1543825500874,1
40:80:8E:A0:8A:DD,10,NA,-85,1543825502352,2
55:CD:2E:4F:6E:49,10,NA,-81,1543825502572,2
50:93:D3:17:89:40,10,NA,-84,1543825502849,2
55:CD:2E:4F:6E:49,10,NA,-76,1543825502953,2
55:CF:72:4F:D3:4D,10,NA,-61,1543825503530,2
48:2C:A0:23:5F:90,10,NA,-88,1543825504178,1
88:44:77:37:BD:E0,10,NA,-101,1543825504489,1
78:02:F8:D0:D5:79,10,小米手机,-97,1543825504902,1
68:3E:34:F8:A6:63,10,NA,-88,1543825507432,1
68:3E:34:F8:A6:63,10,魅蓝E,-87,1543825508168,1
68:3E:34:F8:A6:63,10,魅蓝E,-79,1543825508170,1
69:E2:7D:31:7E:34,10,NA,-88,1543825508836,2
63:D0:10:2E:3D:21,10,NA,-87,1543825508912,2
7B:9E:EF:C3:80:FF,10,NA,-90,1543825509497,2
43:92:CD:52:5C:F3,10,NA,-77,1543825509574,2
43:92:CD:52:5C:F3,10,NA,-80,1543825509674,2
55:CF:72:4F:D3:4D,10,NA,-78,1543825509704,2
43:92:CD:52:5C:F3,10,NA,-89,1543825509715,2
48:1C:31:28:73:76,10,NA,-84,1543825509739,2
43:92:CD:52:5C:F3,10,NA,-84,1543825509748,2
43:92:CD:52:5C:F3,10,NA,-88,1543825509784,2
A0:E6:F8:F9:4D:3C,10,KONFTEL 300IPx,-84,1543825510108,2
7C:A6:CA:19:4F:C1,10,NA,-85,1543825510131,2
40:80:8E:A0:8A:DD,10,NA,-87,1543825510152,2
63:E6:61:E9:38:F2,10,NA,-93,1543825510173,2
75:DD:9B:73:58:59,10,NA,-92,1543825510359,2
43:92:CD:52:5C:F3,10,NA,-84,1543825510363,2
A0:E6:F8:FC:68:B7,10,KONFTEL 300IPx,-85,1543825510366,2
00:81:F9:18:74:57,10,KONFTEL 300IPx,-94,1543825510373,2
59:24:67:EE:7B:67,10,NA,-89,1543825510383,2
7C:A6:CA:19:4F:C1,10,NA,-94,1543825510394,2
59:24:67:EE:7B:67,10,NA,-94,1543825510670,2
4F:F3:6D:2D:61:54,10,NA,-90,1543825511015,2
