adress,advertisingSid,bond,name,primaryPhy,rssi,secondaryPhy,time,txPower,type
5F:23:4E:AF:E8:56,255,10,NA,1,-85,0,1543825509166,127,0
10:94:BB:6C:3E:7C,255,10,NA,1,-93,0,1543825509330,127,0
5A:49:B4:90:F6:29,255,10,NA,1,-85,0,1543825509426,127,0
5A:42:53:2F:C5:CE,255,10,NA,1,-100,0,1543825509497,127,0
7B:9E:EF:C3:80:FF,255,10,NA,1,-90,0,1543825509502,127,2
43:92:CD:52:5C:F3,255,10,NA,1,-77,0,1543825509584,127,2
10:94:BB:6C:3E:7C,255,10,NA,1,-98,0,1543825509630,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-79,0,1543825509643,127,0
10:94:BB:6C:3E:7C,255,10,NA,1,-97,0,1543825509657,127,0
37:C1:86:ED:E6:BC,255,10,NA,1,-90,0,1543825509661,127,0
43:92:CD:52:5C:F3,255,10,NA,1,-80,0,1543825509685,127,2
55:CF:72:4F:D3:4D,255,10,NA,1,-78,0,1543825509712,127,2
43:92:CD:52:5C:F3,255,10,NA,1,-89,0,1543825509724,127,2
48:1C:31:28:73:76,255,10,NA,1,-84,0,1543825509748,127,2
43:92:CD:52:5C:F3,255,10,NA,1,-84,0,1543825509755,127,2
37:C1:86:ED:E6:BC,255,10,NA,1,-92,0,1543825509771,127,0
43:92:CD:52:5C:F3,255,10,NA,1,-88,0,1543825509792,127,2
5A:49:B4:90:F6:29,255,10,NA,1,-89,0,1543825509794,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-79,0,1543825509828,127,0
37:C1:86:ED:E6:BC,255,10,NA,1,-93,0,1543825509897,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-96,0,1543825509910,127,0
5A:49:B4:90:F6:29,255,10,NA,1,-86,0,1543825509979,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-79,0,1543825510015,127,0
A0:E6:F8:F9:4D:3C,255,10,KONFTEL 300IPx,1,-84,0,1543825510128,127,2
7C:A6:CA:19:4F:C1,255,10,NA,1,-85,0,1543825510139,127,2
40:80:8E:A0:8A:DD,255,10,NA,1,-87,0,1543825510160,127,2
5A:49:B4:90:F6:29,255,10,NA,1,-87,0,1543825510162,127,0
4D:16:A3:37:33:E8,255,10,NA,1,-91,0,1543825510165,127,0
63:E6:61:E9:38:F2,255,10,NA,1,-93,0,1543825510179,127,2
75:DD:9B:73:58:59,255,10,NA,1,-92,0,1543825510359,127,2
37:C1:86:ED:E6:BC,255,10,NA,1,-83,0,1543825510361,127,0
37:C1:86:ED:E6:BC,255,10,NA,1,-87,0,1543825510362,127,0
5F:23:4E:AF:E8:56,255,10,NA,1,-94,0,1543825510363,127,0
43:92:CD:52:5C:F3,255,10,NA,1,-84,0,1543825510365,127,2
4D:16:A3:37:33:E8,255,10,NA,1,-97,0,1543825510366,127,0
A0:E6:F8:FC:68:B7,255,10,KONFTEL 300IPx,1,-85,0,1543825510370,127,2
00:81:F9:18:74:57,255,10,KONFTEL 300IPx,1,-94,0,1543825510378,127,2
59:24:67:EE:7B:67,255,10,NA,1,-89,0,1543825510388,127,2
7C:A6:CA:19:4F:C1,255,10,NA,1,-94,0,1543825510399,127,2
37:C1:86:ED:E6:BC,255,10,NA,1,-87,0,1543825510505,127,0
00:F7:93:1C:4F:93,255,10,NA,1,-96,0,1543825510524,127,0
5A:49:B4:90:F6:29,255,10,NA,1,-82,0,1543825510535,127,0
4D:16:A3:37:33:E8,255,10,NA,1,-90,0,1543825510537,127,0
59:24:67:EE:7B:67,255,10,NA,1,-94,0,1543825510682,127,2
37:C1:86:ED:E6:BC,255,10,NA,1,-85,0,1543825510714,127,0
61:85:D7:C2:82:EC,255,10,NA,1,-78,0,1543825510755,127,0
