4.7058e+06,145.79,50.626
4.7058e+06,145.79,50.626
4.7058e+06,145.9,50.037
4.7058e+06,145.99,49.454
4.7058e+06,146.03,48.872
4.7058e+06,145.88,48.31
4.7058e+06,145.9,47.754
4.7058e+06,145.93,47.197
4.7058e+06,145.99,46.632
4.7058e+06,146,46.077
4.7058e+06,146,45.538
4.7058e+06,146.04,45.006
4.7058e+06,146.04,44.469
4.7058e+06,146.06,43.953
4.7058e+06,146.06,43.442
4.7058e+06,146.11,42.931
4.7058e+06,146.14,42.419
4.7058e+06,146.22,41.919
4.7058e+06,146.24,41.435
4.7058e+06,146.28,40.934
4.7058e+06,146.32,40.446
4.7058e+06,146.38,39.974
4.7058e+06,146.41,39.492
4.7058e+06,146.47,39.015
4.7058e+06,146.59,38.545
4.7058e+06,146.9,38.183
4.7058e+06,147.32,37.962
4.7058e+06,147.79,37.942
4.7058e+06,148.28,37.998
4.7058e+06,148.77,38.055
4.7058e+06,149.27,38.113
4.7058e+06,149.76,38.135
4.7058e+06,150.26,38.16
4.7058e+06,150.75,38.192
4.7058e+06,151.24,38.253
4.7058e+06,151.74,38.249
4.7058e+06,152.23,38.205
4.7058e+06,152.7,38.079
4.7058e+06,153.06,37.761
4.7058e+06,153.23,37.315
4.7058e+06,153.28,36.851
4.7058e+06,153.25,36.38
4.7058e+06,153.24,35.908
4.7058e+06,153.23,35.443
4.7058e+06,153.23,34.986
4.7058e+06,153.23,34.506
4.7058e+06,153.26,34.043
4.7058e+06,153.28,33.588
4.7058e+06,153.33,33.131
4.7058e+06,153.36,32.667
4.7058e+06,153.38,32.2
4.7058e+06,153.37,31.73
4.7058e+06,153.36,31.275
4.7058e+06,153.37,30.808
4.7058e+06,153.42,30.361
4.7058e+06,153.46,29.896
4.7058e+06,153.52,29.426
4.7058e+06,153.56,28.963
4.7058e+06,153.61,28.494
4.7058e+06,153.62,28.027
4.7058e+06,153.67,27.579
4.7058e+06,153.71,27.133
4.7058e+06,153.77,26.703
4.7058e+06,153.81,26.274
4.7058e+06,153.79,25.84
4.7058e+06,153.63,25.438
4.7058e+06,153.3,25.115
4.7058e+06,152.87,24.964
4.7058e+06,152.42,24.856
4.7058e+06,151.95,24.881
4.7058e+06,151.48,24.853
4.7058e+06,151.03,24.84
4.7058e+06,150.57,24.783
4.7058e+06,150.12,24.765
4.7058e+06,149.65,24.75
4.7058e+06,149.19,24.78
4.7058e+06,148.73,24.762
4.7058e+06,148.27,24.741
4.7058e+06,147.81,24.74
4.7058e+06,147.35,24.76
4.7058e+06,146.89,24.762
4.7058e+06,146.46,24.799
4.7058e+06,146,24.805
4.7058e+06,145.54,24.832
4.7058e+06,145.09,24.832
4.7058e+06,144.67,24.826
4.7058e+06,144.24,24.824
4.7058e+06,143.81,24.828
4.7058e+06,143.38,24.84
